portal,issuer,location,status,goal,currently_raised,currency,latitude,longitude
CircleUp,NurturMe,"Austin, TX, USA",,250000,175000,,30.267153,-97.7430608
CircleUp,Lisa's Organics,"Carnelian Bay, CA 96140, USA",,350000,95000,,39.2268512,-120.0818587
CircleUp,WAFU,"Montreal, QC, Canada",,250000,111111,,45.5086699,-73.5539925
CircleUp,Steve's Ice Cream,"Brooklyn , NY",,1000000,842500,,,
CircleUp,Eco-Me,"Pacoima, Los Angeles, CA, USA",,900000,690000,,34.2767691,-118.4104684
CircleUp,Peeled Snacks,"Brooklyn , NY",Funded,3000000,2314870,,,
CircleUp,Rhythm Superfoods,"Austin, TX, USA",Funded,763601,763601,,30.267153,-97.7430608
CircleUp,Willa,"Riverside, Greenwich, CT, USA",Funded,1000000,1000000,,41.0337666,-73.5784843
CircleUp,Pangea Organics,"Boulder , CO",Funded,1000000,555000,,,
CircleUp,"Prosperity Organic Foods, Inc","Boise, ID, USA",Funded,1000000,1000000,,43.6140237,-116.20365
CircleUp,Little Duck Organics,"Brooklyn , NY",Funded,900000,890000,,,
CircleUp,"18 Rabbits, Inc","San Francisco, CA, USA",Funded,500000,500000,,37.7749295,-122.4194155
CircleUp,Episencial,"Los Angeles, CA, USA",Funded,500000,500000,,34.0522342,-118.2436849
FundersClub,INDINERO,"San Francisco, CA, USA",,100000,442391,,37.7749295,-122.4194155
FundersClub,InstaCart,"San Francisco, CA, USA",,100000,222000,,37.7749295,-122.4194155
FundersClub,Instinct,"New York, NY, USA",Fund Ended,,,,40.7143528,-74.0059731
FundersClub,Rainforest,"San Francisco, CA, USA",Fund Ended,,,,37.7749295,-122.4194155
FundersClub,TinderBox,"Indianapolis, IN, USA",Fund Ended,,,,39.7685825,-86.1579557
FundersClub,Soldsie,"San Francisco, CA, USA",Fund Ended,,,,37.7749295,-122.4194155
FundersClub,Coinbase,"San Francisco, CA, USA",Fund Ended,,,,37.7749295,-122.4194155
FundersClub,Sponsorfied,"San Francisco, CA, USA",Fund Ended,,,,37.7749295,-122.4194155
FundersClub,Tracks.by,"San Francisco, CA, USA",Fund Ended,,,,37.7749295,-122.4194155
FundersClub,Virool,"San Francisco, CA, USA",Fund Ended,,,,37.7749295,-122.4194155
FundersClub,FundersClub,"Palo Alto, CA, USA",Fund Ended,,,,37.4418834,-122.1430195
FundersClub,Ycombinator,"Mountain View, CA, USA",Fund Ended,,,,37.3860517,-122.0838511
FundersClub,Safe Sheperd ,"San Francisco, CA, USA",,100000,100000,,37.7749295,-122.4194155
FundersClub,SendHub,"Menlo Park, CA, USA",Upcoming,100000,0,,37.4538274,-122.1821871
FundersClub,PushToTest ,"Campbell, CA",Upcoming,100000,0,,,
FundersClub,Refer.ly,"San Francisco, CA, USA",Upcoming,,,,37.7749295,-122.4194155
SomoLend,Lucy's Place,"Port Orchard, WA, USA",,270000,0,,47.5403732,-122.6362492
SomoLend,The Mary Jane Brownie Company,"Cincinnati, OH, USA",,25000,10000,,39.1031182,-84.5120196
SomoLend,"Hedgeable, Inc.","New York, NY, USA",,100000,0,,40.7143528,-74.0059731
SomoLend,Inventions Designs & Concepts LLC,"St. Louis, MO",,1700,0,,,
SomoLend,Jakole Communications,"Cincinnati, OH, USA",,80000,0,,39.1031182,-84.5120196
SomoLend,Project Blue Collar,"Newport, KY, USA",,30000,0,,39.091449,-84.4957757
SomoLend,SpectroFerm LTD,"Cincinnati, OH, USA",,120000,0,,39.1031182,-84.5120196
SomoLend,ArcaneCapital,"Canoga Park, Los Angeles, CA, USA",,1000,0,,34.2061948,-118.6089752
SomoLend,Frozen Sun Daiquiris,"Lafayette, LA, USA",,100000,0,,30.2240897,-92.0198427
