portal,issuer,location,status,goal,currently_raised,latitude,longitude
CircleUp,"18 Rabbits, Inc","San Francisco, CA, USA",Funded,500000,500000,37.7749295,-122.4194155
CircleUp,Eco-Me,"Pacoima, Los Angeles, CA, USA",,900000,690000,34.2767691,-118.4104684
CircleUp,Episencial,"Los Angeles, CA, USA",Funded,500000,500000,34.0522342,-118.2436849
CircleUp,Lisa's Organics,"Carnelian Bay, CA 96140, USA",,350000,95000,39.2268512,-120.0818587
CircleUp,Little Duck Organics,"Brooklyn, NY",Funded,900000,890000,,
CircleUp,NurturMe,"Austin, TX, USA",,250000,175000,30.267153,-97.7430608
CircleUp,Pangea Organics,"Boulder, CO",Funded,1000000,555000,,
CircleUp,Peeled Snacks,"Brooklyn, NY",Funded,3000000,2314870,,
CircleUp,"Prosperity Organic Foods, Inc","Boise, ID, USA",Funded,1000000,1000000,43.6140237,-116.20365
CircleUp,Rhythm Superfoods,"Austin, TX, USA",Funded,763601,763601,30.267153,-97.7430608
CircleUp,Steve's Ice Cream,"Brooklyn, NY",,1000000,842500,,
CircleUp,WAFU,"Montreal, QC, Canada",,250000,111111,45.5086699,-73.5539925
CircleUp,Willa,"Riverside, Greenwich, CT, USA",Funded,1000000,1000000,41.0337666,-73.5784843
Crowdcube,"5 Point Plus Ltd, safer child car seat",,,150000,20,,
Crowdcube,Angel Alerts Ltd,,,50000,26180,,
Crowdcube,AUFI Limited,London,,150000,1580,,
Crowdcube,BigBarn CIC,"Cambridge, UK",Funded,12000,12000,,
Crowdcube,Bike Leasing Company Ltd,"Horsell, Woking, Surrey GU21, UK",,100000,26570,51.3209779,-0.570371
Crowdcube,Bright Ideas Global Group Ltd,"Loughborough, Leicestershire, UK",,125000,15630,52.772099,-1.206166
Crowdcube,Brüpond Brewery,"London Borough of Camden, Greater London, UK",Funded,35000,35000,51.5517059,-0.1588255
Crowdcube,Bubble & Balm,"Royal Leamington Spa, Warwickshire, UK",Funded,75000,75000,52.2851905,-1.5200789
Crowdcube,Club Website,"London, UK",,165000,2660,51.5073346,-0.1276831
Crowdcube,Crowdcube Limited,"Exeter, Devon, UK",Funded,319950,319950,50.718412,-3.533899
Crowdcube,Dattch,"London Borough of Camden, Greater London, UK",,100000,10960,51.5517059,-0.1588255
Crowdcube,DealJungle,"Wandsworth, London",,100000,1100,,
Crowdcube,Dr Jacksons Natural Products,"Bristol, City of Bristol, UK",Funded,15000,15000,51.454513,-2.58791
Crowdcube,E-Car Club Ltd,"Southwark, Greater London SE1, UK",Funded,100000,100000,51.502781,-0.087738
Crowdcube,Edge Forecast Software,"Bath, Bath and North East Somerset, UK",Funded,15000,15000,51.375801,-2.3599039
Crowdcube,Escape the City,"London Borough of Hammersmith and Fulham, Greater London, UK",Funded,600000,600000,51.499017,-0.2291497
Crowdcube,Front Up Rugby,"Sutton Coldfield, West Midlands, UK",Funded,100000,100000,52.570385,-1.824042
Crowdcube,Get Site Tracked,"London, UK",Funded,100000,100000,51.5073346,-0.1276831
Crowdcube,Green & Pleasant,"London Borough of Southwark, London SE1 1EL, UK",,120000,21460,51.5018738,-0.095719
Crowdcube,Headstart OpenVie Ltd,"Bideford, Devon, UK",,160000,70,51.016684,-4.206666
Crowdcube,iClimb Executives Ltd,"Westminster, City of Westminster, London, UK",,150000,0,51.498609,-0.133906
Crowdcube,iNeed Limited,"Islington, London",,100000,29520,,
Crowdcube,Infusion Festivals Ltd,"Newcastle upon Tyne, Tyne and Wear, UK",,250000,100,54.978252,-1.61778
Crowdcube,Jam Vehicles Ltd,"London Borough of Camden, Greater London, UK",,125000,130,51.5517059,-0.1588255
Crowdcube,Kammerling's,"London, UK",Funded,180000,180000,51.5073346,-0.1276831
Crowdcube,Kinopto Limited,"Bromley, London",Funded,35000,35000,,
Crowdcube,My Football Life Ltd,"Westminster, City of Westminster, London, UK",,60000,610,51.498609,-0.133906
Crowdcube,Oriental Rugs of Bath,"Bath, Bath and North East Somerset, UK",Funded,30000,30000,51.375801,-2.3599039
Crowdcube,Personal Development Bureau - Phase 1,"Croydon, United Kingdom",Funded,25000,25000,,
Crowdcube,Personal Development Bureau - Phase 2,"Croydon, United Kingdom",Funded,25000,25000,,
Crowdcube,Red Advertising Ltd,"Cannock, Staffordshire, UK",Funded,125000,125000,52.687071,-2.026485
Crowdcube,Righteous Ltd.,"London, UK",Funded,75000,75000,51.5073346,-0.1276831
Crowdcube,runagood.com ltd,London,,150000,2650,,
Crowdcube,Shopcreator Services limited,"Leeds, West Yorkshire, UK",,120000,5180,53.801279,-1.548567
Crowdcube,Southern Dreams Limited,"London, UK",Funded,25000,25000,51.5073346,-0.1276831
Crowdcube,Swishing Limited,"Northampton, UK",,150000,9360,52.240477,-0.902656
